Number of Features,Selected Features,RMSE,R-squared,MAE
1,[R&D Spend],7714.334890830185,0.9265108109341951,6077.363300620399
2,"[R&D Spend, Administration]",9152.274782350905,0.8965609365509308,7181.327131714383
3,"[R&D Spend, Administration, State_Florida]",9284.310511935364,0.8935548710812296,7429.961493002911
4,"[R&D Spend, Administration, Marketing Spend, State_Florida]",9055.957752233744,0.89872663184282,6961.48684571421
5,"[R&D Spend, Administration, Marketing Spend, State_Florida, State_New York]",9055.957323458475,0.8987266414328635,6961.477813252388
