Model,MAE,MSE,RMSE,R2 Score,CV RMSE
Random Forest,6131.91314999998,69062131.8504859,8310.36291930057,0.9147162165526941,9050.486606642491
Support Vector Regression (SVR),7076.210314486864,71498307.25142449,8455.667167729847,0.9117078203481996,10577.051645056137
Lasso Regression,6960.932476220293,81988410.22071517,9054.745177017141,0.8987537506431152,10358.61285914112
Linear Regression,6961.47781327556,82010363.04501364,9055.95732349781,0.8987266414319837,10361.648144817043
Ridge Regression,7408.019496251899,84692813.00684294,9202.869824508165,0.8954141244921917,10441.64640012624
