Feature Set Name,Selected Features,Number of Features,R-squared,Adjusted R2,MAE,RMSE
R&D only,[R&D Spend],1,0.9265108109341951,0.9173246623009694,6077.363300620399,7714.334890830185
R&D + Marketing,"[R&D Spend, Marketing Spend]",2,0.9168381183550247,0.8930775807421746,6469.181721468586,8206.32881316585
R&D + Administration,"[R&D Spend, Administration]",2,0.8965609365509308,0.8670069184226253,7181.327131714383,9152.274782350905
R&D + Marketing + Administration,"[R&D Spend, Marketing Spend, Administration]",3,0.900065308303732,0.850097962455598,6979.152252370399,8995.905803361416
All encoded features,"[R&D Spend, Administration, Marketing Spend, State_Florida, State_New York]",5,0.8987266414328635,0.7721349432239429,6961.477813252388,9055.957323458475
Marketing + Administration,"[Marketing Spend, Administration]",2,0.08641243601476212,-0.17461258226673437,20748.953962815267,27199.558230659455
Marketing only,[Marketing Spend],1,-0.11205578997827947,-0.25106276372556446,23639.881154096685,30008.898084282035
Administration only,[Administration],1,-0.19108803250893636,-0.33997403657255343,23482.913969007135,31056.942022688254
