Algorithm,Type,k,Selected Features,RMSE,R2,Adjusted R2,MAE,MSE
LassoCV,Embedded,1,[R&D Spend],7714.334890830185,0.9265108109341951,0.9173246623009694,6077.363300620399,59510962.80787996
LassoCV,Embedded,2,"[R&D Spend, Marketing Spend]",8206.32881316585,0.9168381183550247,0.8930775807421746,6469.181721468586,67343832.58979604
LassoCV,Embedded,3,"[R&D Spend, Marketing Spend, Administration]",8995.905803361416,0.900065308303732,0.850097962455598,6979.152252370399,80926321.22295162
LassoCV,Embedded,4,"[R&D Spend, Marketing Spend, Administration, State_California]",9010.312254990702,0.899744972111381,0.8195409498004859,6974.382886551439,81185726.93243563
LassoCV,Embedded,5,"[R&D Spend, Marketing Spend, Administration, State_California, State_Florida]",9055.957323465758,0.8987266414327006,0.7721349432235765,6961.477813256676,82010363.0444331
LassoCV,Embedded,6,"[R&D Spend, Marketing Spend, Administration, State_California, State_Florida, State_New York]",9055.957323454835,0.8987266414329449,0.6961799242988347,6961.47781325024,82010363.04423526
ElasticNetCV,Embedded,1,[R&D Spend],7714.334890830185,0.9265108109341951,0.9173246623009694,6077.363300620399,59510962.80787996
ElasticNetCV,Embedded,2,"[R&D Spend, Marketing Spend]",8206.32881316585,0.9168381183550247,0.8930775807421746,6469.181721468586,67343832.58979604
ElasticNetCV,Embedded,3,"[R&D Spend, Marketing Spend, Administration]",8995.905803361416,0.900065308303732,0.850097962455598,6979.152252370399,80926321.22295162
ElasticNetCV,Embedded,4,"[R&D Spend, Marketing Spend, Administration, State_California]",9010.312254990702,0.899744972111381,0.8195409498004859,6974.382886551439,81185726.93243563
ElasticNetCV,Embedded,5,"[R&D Spend, Marketing Spend, Administration, State_California, State_Florida]",9055.957323465758,0.8987266414327006,0.7721349432235765,6961.477813256676,82010363.0444331
ElasticNetCV,Embedded,6,"[R&D Spend, Marketing Spend, Administration, State_California, State_Florida, State_New York]",9055.957323454835,0.8987266414329449,0.6961799242988347,6961.47781325024,82010363.04423526
RandomForest_Feature_Importance,Embedded,1,[R&D Spend],7714.334890830185,0.9265108109341951,0.9173246623009694,6077.363300620399,59510962.80787996
RandomForest_Feature_Importance,Embedded,2,"[R&D Spend, Marketing Spend]",8206.32881316585,0.9168381183550247,0.8930775807421746,6469.181721468586,67343832.58979604
RandomForest_Feature_Importance,Embedded,3,"[R&D Spend, Marketing Spend, Administration]",8995.905803361416,0.900065308303732,0.850097962455598,6979.152252370399,80926321.22295162
RandomForest_Feature_Importance,Embedded,4,"[R&D Spend, Marketing Spend, Administration, State_California]",9010.312254990702,0.899744972111381,0.8195409498004859,6974.382886551439,81185726.93243563
RandomForest_Feature_Importance,Embedded,5,"[R&D Spend, Marketing Spend, Administration, State_California, State_New York]",9055.957323483253,0.8987266414323093,0.7721349432226959,6961.477813266986,82010363.04474998
RandomForest_Feature_Importance,Embedded,6,"[R&D Spend, Marketing Spend, Administration, State_California, State_New York, State_Florida]",9055.957323454835,0.8987266414329449,0.6961799242988347,6961.47781325024,82010363.04423526
Permutation_Importance,Model Inspection,1,[R&D Spend],7714.334890830185,0.9265108109341951,0.9173246623009694,6077.363300620399,59510962.80787996
Permutation_Importance,Model Inspection,2,"[R&D Spend, Marketing Spend]",8206.32881316585,0.9168381183550247,0.8930775807421746,6469.181721468586,67343832.58979604
Permutation_Importance,Model Inspection,3,"[R&D Spend, Marketing Spend, Administration]",8995.905803361416,0.900065308303732,0.850097962455598,6979.152252370399,80926321.22295162
Permutation_Importance,Model Inspection,4,"[R&D Spend, Marketing Spend, Administration, State_Florida]",9055.95775223373,0.8987266318428203,0.8177079373170766,6961.4868457142,82010370.81024219
Permutation_Importance,Model Inspection,5,"[R&D Spend, Marketing Spend, Administration, State_Florida, State_New York]",9055.957323458471,0.8987266414328636,0.7721349432239432,6961.477813252384,82010363.04430112
Permutation_Importance,Model Inspection,6,"[R&D Spend, Marketing Spend, Administration, State_Florida, State_New York, State_California]",9055.957323454833,0.8987266414329449,0.6961799242988347,6961.47781325024,82010363.04423523
